город,оценка,дата
Барнаул,5.0,"Отзыв написан 17 ноября, 2016, 11:03"
Новосибирск,1.0,"Отзыв написан 17 ноября, 2016, 10:52"
Екатеринбург,4.0,"Отзыв написан 16 ноября, 2016, 21:54"
Краснодар,2.0,"Отзыв написан 16 ноября, 2016, 21:34"
Омск,1.0,"Отзыв написан 16 ноября, 2016, 21:05"
Тюмень,5.0,"Отзыв написан 16 ноября, 2016, 20:12"
Муравленко,4.0,"Отзыв написан 15 ноября, 2016, 14:43"
Тюмень,5.0,"Отзыв написан 12 ноября, 2016, 17:53"
Иркутск,3.0,"Отзыв написан 12 ноября, 2016, 17:31"
Самара,3.0,"Отзыв написан 12 ноября, 2016, 17:19"
Саратов,3.0,"Отзыв написан 12 ноября, 2016, 16:42"
Отрадо-Кубанское,1.0,"Отзыв написан 10 ноября, 2016, 19:46"
Махачкала,5.0,"Отзыв написан 10 ноября, 2016, 16:03"
Каменск,1.0,"Отзыв написан 5 ноября, 2016, 15:07"
Нижний Новгород,1.0,"Отзыв написан 5 ноября, 2016, 13:32"
Гагарин,5.0,"Отзыв написан 4 ноября, 2016, 20:16"
Ростов-на-Дону,1.0,"Отзыв написан 2 ноября, 2016, 23:44"
Волгоград,2.0,"Отзыв написан 2 ноября, 2016, 19:17"
Верхний Бор,4.0,"Отзыв написан 2 ноября, 2016, 13:23"
Чита,1.0,"Отзыв написан 31 октября, 2016, 22:27"
Орел,1.0,"Отзыв написан 31 октября, 2016, 17:28"
Владивосток,1.0,"Отзыв написан 31 октября, 2016, 15:36"
Тимашу,5.0,"Отзыв написан 30 октября, 2016, 18:52"
Ейск,5.0,"Отзыв написан 30 октября, 2016, 17:26"
Смоленск,1.0,"Отзыв написан 30 октября, 2016, 17:02"
Шукеев,4.0,"Отзыв написан 29 октября, 2016, 10:58"
Отрадо-Кубанское,1.0,"Отзыв написан 27 октября, 2016, 00:17"
Пенза,1.0,"Отзыв написан 26 октября, 2016, 13:47"
Каменск-Уральский,1.0,"Отзыв написан 26 октября, 2016, 13:28"
Нижняя Майка,5.0,"Отзыв написан 25 октября, 2016, 21:44"
Тюмень,5.0,"Отзыв написан 25 октября, 2016, 00:25"
Улан-Удэ,2.0,"Отзыв написан 24 октября, 2016, 19:08"
Анжеро-Судженск,1.0,"Отзыв написан 21 октября, 2016, 23:12"
Щёкино,1.0,"Отзыв написан 21 октября, 2016, 16:37"
Железнодорожный,1.0,"Отзыв написан 21 октября, 2016, 16:04"
Краснодар,1.0,"Отзыв написан 18 октября, 2016, 15:59"
Могочино,2.0,"Отзыв написан 17 октября, 2016, 05:44"
Усолье-Сибирское,1.0,"Отзыв написан 17 октября, 2016, 04:24"
Тюмень,5.0,"Отзыв написан 15 октября, 2016, 09:51"
Нижний Новгород,5.0,"Отзыв написан 14 октября, 2016, 11:41"
Кириши,2.0,"Отзыв написан 13 октября, 2016, 12:50"
Дресвянка,3.0,"Отзыв написан 8 октября, 2016, 16:19"
Воздвиженское,5.0,"Отзыв написан 6 октября, 2016, 12:21"
Екатеринбург,4.0,"Отзыв написан 5 октября, 2016, 10:19"
Уфа,2.0,"Отзыв написан 3 октября, 2016, 22:52"
Краснодар,1.0,"Отзыв написан 3 октября, 2016, 14:12"
Поляшово,5.0,"Отзыв написан 3 октября, 2016, 08:44"
Александровск-Сахалинский,5.0,"Отзыв написан 3 октября, 2016, 05:15"
Иваново,1.0,"Отзыв написан 2 октября, 2016, 15:36"
Тупиково,4.0,"Отзыв написан 29 сентября, 2016, 07:35"
Борисоглебск,4.0,"Отзыв написан 28 сентября, 2016, 20:11"
Белинский,2.0,"Отзыв написан 27 сентября, 2016, 13:56"
Мирный,1.0,"Отзыв написан 26 сентября, 2016, 10:26"
Болчары,4.0,"Отзыв написан 26 сентября, 2016, 08:37"
Лазаревское,2.0,"Отзыв написан 26 сентября, 2016, 04:50"
Турово,5.0,"Отзыв написан 25 сентября, 2016, 23:10"
Лукино,3.0,"Отзыв написан 25 сентября, 2016, 13:57"
Уяр,3.0,"Отзыв написан 25 сентября, 2016, 11:28"
Лукино,2.0,"Отзыв написан 23 сентября, 2016, 22:20"
Екатеринбург,2.0,"Отзыв написан 23 сентября, 2016, 20:40"
Сочи,4.0,"Отзыв написан 22 сентября, 2016, 12:06"
Бугуруслан,4.0,"Отзыв написан 22 сентября, 2016, 11:44"
Иркутск,1.0,"Отзыв написан 22 сентября, 2016, 03:56"
Киров,5.0,"Отзыв написан 21 сентября, 2016, 11:35"
Белгород,1.0,"Отзыв написан 19 сентября, 2016, 22:47"
Зеленоградск,5.0,"Отзыв написан 18 сентября, 2016, 00:45"
Заветное,4.0,"Отзыв написан 15 сентября, 2016, 20:40"
Белгород,4.0,"Отзыв написан 12 сентября, 2016, 00:25"
Краснодар,2.0,"Отзыв написан 11 сентября, 2016, 23:15"
Ростов-на-Дону,5.0,"Отзыв написан 11 сентября, 2016, 14:55"
Мердушь,4.0,"Отзыв написан 10 сентября, 2016, 00:50"
Вожега,1.0,"Отзыв написан 8 сентября, 2016, 20:23"
Керчь,4.0,"Отзыв написан 8 сентября, 2016, 15:59"
Череповец,1.0,"Отзыв написан 7 сентября, 2016, 10:06"
Соль-Илецк,3.0,"Отзыв написан 7 сентября, 2016, 08:10"
Благовещенск,4.0,"Отзыв написан 6 сентября, 2016, 13:54"
Уфа,1.0,"Отзыв написан 6 сентября, 2016, 13:39"
Котельниково,1.0,"Отзыв написан 6 сентября, 2016, 12:40"
Сочи,1.0,"Отзыв написан 3 сентября, 2016, 18:48"
Равнинный,4.0,"Отзыв написан 2 сентября, 2016, 17:16"
Екатеринославка,1.0,"Отзыв написан 30 августа, 2016, 13:38"
Шарапиха,4.0,"Отзыв написан 29 августа, 2016, 15:14"
Балуево,5.0,"Отзыв написан 29 августа, 2016, 15:10"
Иркутск,5.0,"Отзыв написан 29 августа, 2016, 15:00"
Бологое,2.0,"Отзыв написан 29 августа, 2016, 08:15"
Пабережье,4.0,"Отзыв написан 29 августа, 2016, 08:03"
Алдан,5.0,"Отзыв написан 28 августа, 2016, 18:37"
Ангарск,4.0,"Отзыв написан 28 августа, 2016, 13:25"
Благовещенск,4.0,"Отзыв написан 28 августа, 2016, 11:31"
Северо-Задонск,4.0,"Отзыв написан 28 августа, 2016, 03:04"
Монды,4.0,"Отзыв написан 27 августа, 2016, 19:18"
Туран,4.0,"Отзыв написан 27 августа, 2016, 19:16"
Кырен,4.0,"Отзыв написан 27 августа, 2016, 19:15"
Жемчуг,4.0,"Отзыв написан 27 августа, 2016, 19:13"
Култук,4.0,"Отзыв написан 27 августа, 2016, 19:10"
Хабаровск,3.0,"Отзыв написан 27 августа, 2016, 12:52"
Благовещенск,5.0,"Отзыв написан 25 августа, 2016, 13:04"
Лобня,1.0,"Отзыв написан 24 августа, 2016, 14:59"
Чебоксары,3.0,"Отзыв написан 23 августа, 2016, 14:59"
Соль-Илецк,4.0,"Отзыв написан 23 августа, 2016, 14:13"
Соль-Илецк,4.0,"Отзыв написан 23 августа, 2016, 11:26"
Белгород,1.0,"Отзыв написан 21 августа, 2016, 11:56"
Подвигаловка,5.0,"Отзыв написан 19 августа, 2016, 14:36"
Печора,5.0,"Отзыв написан 19 августа, 2016, 08:41"
Яровое,1.0,"Отзыв написан 18 августа, 2016, 18:40"
Белгород,1.0,"Отзыв написан 18 августа, 2016, 16:39"
Ейск,2.0,"Отзыв написан 17 августа, 2016, 16:50"
Соль-Илецк,5.0,"Отзыв написан 17 августа, 2016, 14:30"
Соль-Илецк,5.0,"Отзыв написан 17 августа, 2016, 14:24"
Воронеж,1.0,"Отзыв написан 17 августа, 2016, 01:10"
Славянск-на-Кубани,1.0,"Отзыв написан 15 августа, 2016, 23:35"
Санкт-Петербург,5.0,"Отзыв написан 15 августа, 2016, 16:25"
Санкт-Петербург,5.0,"Отзыв написан 15 августа, 2016, 16:24"
Красноярск,3.0,"Отзыв написан 15 августа, 2016, 16:18"
Ейск,3.0,"Отзыв написан 14 августа, 2016, 12:30"
Соль-Илецк,4.0,"Отзыв написан 13 августа, 2016, 23:23"
Краснодар,1.0,"Отзыв написан 12 августа, 2016, 18:10"
Шара-Гол,2.0,"Отзыв написан 12 августа, 2016, 10:24"
Шара-Гол,2.0,"Отзыв написан 12 августа, 2016, 10:23"
Уфа,1.0,"Отзыв написан 12 августа, 2016, 07:20"
Киров,4.0,"Отзыв написан 11 августа, 2016, 21:38"
Ейск,1.0,"Отзыв написан 11 августа, 2016, 20:35"
Киров,1.0,"Отзыв написан 11 августа, 2016, 17:40"
Соль-Илецк,4.0,"Отзыв написан 11 августа, 2016, 15:35"
Мурманск,4.0,"Отзыв написан 11 августа, 2016, 14:49"
Ейск,3.0,"Отзыв написан 11 августа, 2016, 11:53"
Братск,4.0,"Отзыв написан 11 августа, 2016, 06:29"
Усть-Кут,5.0,"Отзыв написан 10 августа, 2016, 19:45"
Анапа,5.0,"Отзыв написан 10 августа, 2016, 18:51"
Кисловодск,5.0,"Отзыв написан 10 августа, 2016, 13:58"
Нижний Тагил,3.0,"Отзыв написан 10 августа, 2016, 07:50"
Березонаволок,5.0,"Отзыв написан 9 августа, 2016, 23:14"
Чебоксары,1.0,"Отзыв написан 8 августа, 2016, 23:25"
Ярославль,5.0,"Отзыв написан 6 августа, 2016, 17:27"
Сызрань,4.0,"Отзыв написан 5 августа, 2016, 11:47"
Курск,1.0,"Отзыв написан 4 августа, 2016, 17:16"
Ейск,4.0,"Отзыв написан 3 августа, 2016, 14:14"
Курск,4.0,"Отзыв написан 3 августа, 2016, 12:33"
Казань,4.0,"Отзыв написан 1 августа, 2016, 17:05"
Барнаул,1.0,"Отзыв написан 1 августа, 2016, 07:02"
Соль-Илецк,3.0,"Отзыв написан 31 июля, 2016, 15:05"
Яровое,1.0,"Отзыв написан 31 июля, 2016, 08:41"
Нижний Новгород,1.0,"Отзыв написан 31 июля, 2016, 08:01"
Нижний Новгород,1.0,"Отзыв написан 31 июля, 2016, 07:54"
Ханты-Мансийск,4.0,"Отзыв написан 28 июля, 2016, 08:27"
Знаменск,2.0,"Отзыв написан 27 июля, 2016, 22:48"
Брянск,3.0,"Отзыв написан 27 июля, 2016, 08:01"
Воронеж,5.0,"Отзыв написан 26 июля, 2016, 21:29"
Мазурова,3.0,"Отзыв написан 26 июля, 2016, 11:29"
Екатеринбург,1.0,"Отзыв написан 25 июля, 2016, 17:21"
Сочи,1.0,"Отзыв написан 23 июля, 2016, 21:06"
Чита,5.0,"Отзыв написан 23 июля, 2016, 19:34"
Соль-Илецк,2.0,"Отзыв написан 22 июля, 2016, 23:13"
Рамонь,5.0,"Отзыв написан 22 июля, 2016, 14:56"
Петрозаводск,5.0,"Отзыв написан 22 июля, 2016, 13:26"
Ставрополь,5.0,"Отзыв написан 22 июля, 2016, 11:56"
Тольятти,4.0,"Отзыв написан 22 июля, 2016, 11:44"
Сочи,5.0,"Отзыв написан 22 июля, 2016, 11:24"
Белгород,5.0,"Отзыв написан 22 июля, 2016, 11:19"
Усть-Кут,4.0,"Отзыв написан 22 июля, 2016, 11:09"
Орск,4.0,"Отзыв написан 22 июля, 2016, 11:02"
Анапа,5.0,"Отзыв написан 22 июля, 2016, 10:29"
Селиваниха,5.0,"Отзыв написан 22 июля, 2016, 10:11"
Минусинск,5.0,"Отзыв написан 21 июля, 2016, 21:12"
Мурманск,5.0,"Отзыв написан 20 июля, 2016, 19:32"
Тюмень,4.0,"Отзыв написан 20 июля, 2016, 00:42"
Петрозаводск,2.0,"Отзыв написан 19 июля, 2016, 19:37"
Волчанск,4.0,"Отзыв написан 18 июля, 2016, 14:17"
Новая Москва,5.0,"Отзыв написан 18 июля, 2016, 09:42"
Северобайкальск,4.0,"Отзыв написан 18 июля, 2016, 09:36"
Ставрополь,1.0,"Отзыв написан 17 июля, 2016, 23:44"
Сочи,4.0,"Отзыв написан 17 июля, 2016, 11:22"
Соль-Илецк,5.0,"Отзыв написан 17 июля, 2016, 00:24"
Шарыпово,4.0,"Отзыв написан 15 июля, 2016, 17:42"
Орел,1.0,"Отзыв написан 15 июля, 2016, 15:59"
Иваново,4.0,"Отзыв написан 15 июля, 2016, 11:42"
Шуя,2.0,"Отзыв написан 15 июля, 2016, 11:11"
Киров,1.0,"Отзыв написан 14 июля, 2016, 15:07"
Соль-Илецк,4.0,"Отзыв написан 14 июля, 2016, 12:13"
Кострома,2.0,"Отзыв написан 13 июля, 2016, 12:33"
Красноярск,2.0,"Отзыв написан 12 июля, 2016, 18:30"
Великоархангельское,4.0,"Отзыв написан 12 июля, 2016, 13:48"
Соль-Илецк,5.0,"Отзыв написан 12 июля, 2016, 12:51"
Сураж,4.0,"Отзыв написан 11 июля, 2016, 20:39"
Ульяновск,5.0,"Отзыв написан 11 июля, 2016, 20:32"
Коктебель,1.0,"Отзыв написан 11 июля, 2016, 14:42"
Кызыл,4.0,"Отзыв написан 9 июля, 2016, 22:51"
Ейск,4.0,"Отзыв написан 9 июля, 2016, 06:24"
Тюмень,4.0,"Отзыв написан 7 июля, 2016, 16:34"
Красноярск,3.0,"Отзыв написан 7 июля, 2016, 16:24"
Краснодар,1.0,"Отзыв написан 7 июля, 2016, 15:37"
Краснодар,1.0,"Отзыв написан 7 июля, 2016, 15:34"
Балаково,1.0,"Отзыв написан 7 июля, 2016, 12:09"
Череповец,3.0,"Отзыв написан 6 июля, 2016, 23:07"
Рыбинск,5.0,"Отзыв написан 6 июля, 2016, 22:54"
Ейск,3.0,"Отзыв написан 6 июля, 2016, 22:40"
Луга,4.0,"Отзыв написан 6 июля, 2016, 22:18"
Оредеж,4.0,"Отзыв написан 6 июля, 2016, 22:07"
Соль-Илецк,5.0,"Отзыв написан 5 июля, 2016, 11:36"
Буинск,5.0,"Отзыв написан 4 июля, 2016, 22:02"
Нижний Новгород,5.0,"Отзыв написан 4 июля, 2016, 15:15"
Балтийск,2.0,"Отзыв написан 3 июля, 2016, 18:12"
Золотанка,1.0,"Отзыв написан 2 июля, 2016, 23:39"
Новороссийск,5.0,"Отзыв написан 1 июля, 2016, 23:14"
Кореньки,1.0,"Отзыв написан 1 июля, 2016, 18:19"
Переславль-Залесский,4.0,"Отзыв написан 1 июля, 2016, 17:00"
Мурманск,1.0,"Отзыв написан 29 июня, 2016, 21:17"
Соль-Илецк,4.0,"Отзыв написан 28 июня, 2016, 12:25"
Белгород,3.0,"Отзыв написан 27 июня, 2016, 04:00"
Оренбург,1.0,"Отзыв написан 26 июня, 2016, 17:04"
Шушенское,5.0,"Отзыв написан 25 июня, 2016, 19:31"
Курагино,4.0,"Отзыв написан 25 июня, 2016, 19:20"
Ангарск,5.0,"Отзыв написан 25 июня, 2016, 15:21"
Абакан,4.0,"Отзыв написан 25 июня, 2016, 15:19"
Краснодар,4.0,"Отзыв написан 25 июня, 2016, 15:18"
Северобайкальск,5.0,"Отзыв написан 25 июня, 2016, 15:16"
Апатиты,5.0,"Отзыв написан 25 июня, 2016, 15:11"
Бологое,2.0,"Отзыв написан 25 июня, 2016, 15:04"
Абакан,4.0,"Отзыв написан 25 июня, 2016, 14:56"
Красноярск,5.0,"Отзыв написан 25 июня, 2016, 14:47"
Соль-Илецк,5.0,"Отзыв написан 22 июня, 2016, 20:04"
Таганрог,1.0,"Отзыв написан 21 июня, 2016, 12:11"
Грозный,2.0,"Отзыв написан 20 июня, 2016, 13:06"
Рязань,5.0,"Отзыв написан 18 июня, 2016, 08:47"
Краснодар,2.0,"Отзыв написан 17 июня, 2016, 11:36"
Соль-Илецк,5.0,"Отзыв написан 17 июня, 2016, 01:43"
Новороссийск,1.0,"Отзыв написан 15 июня, 2016, 20:59"
Шербакуль,5.0,"Отзыв написан 15 июня, 2016, 09:44"
Саранск,2.0,"Отзыв написан 14 июня, 2016, 15:44"
Уфа,5.0,"Отзыв написан 14 июня, 2016, 09:25"
Приозерск,3.0,"Отзыв написан 14 июня, 2016, 02:12"
Громославка,3.0,"Отзыв написан 14 июня, 2016, 01:36"
Уфа,3.0,"Отзыв написан 12 июня, 2016, 20:15"
Краснодар,5.0,"Отзыв написан 10 июня, 2016, 18:49"
Уфа,3.0,"Отзыв написан 7 июня, 2016, 19:38"
Казань,5.0,"Отзыв написан 7 июня, 2016, 19:37"
Чита,4.0,"Отзыв написан 7 июня, 2016, 19:35"
Красный Сулин,3.0,"Отзыв написан 7 июня, 2016, 19:33"
Алушта,4.0,"Отзыв написан 7 июня, 2016, 19:30"
Тамань,4.0,"Отзыв написан 7 июня, 2016, 16:29"
Пенза,4.0,"Отзыв написан 7 июня, 2016, 11:04"
Соль-Илецк,5.0,"Отзыв написан 6 июня, 2016, 16:27"
Сортавала,4.0,"Отзыв написан 6 июня, 2016, 12:26"
Звенигород,5.0,"Отзыв написан 5 июня, 2016, 16:10"
Сандогора,5.0,"Отзыв написан 5 июня, 2016, 15:45"
Голден Парк,3.0,"Отзыв написан 5 июня, 2016, 12:50"
Белозёриха,3.0,"Отзыв написан 4 июня, 2016, 23:48"
Рязань,2.0,"Отзыв написан 3 июня, 2016, 12:11"
Ейск,4.0,"Отзыв написан 2 июня, 2016, 09:37"
Хабаровск,1.0,"Отзыв написан 29 мая, 2016, 17:25"
Сочи,1.0,"Отзыв написан 27 мая, 2016, 16:43"
Ишим,2.0,"Отзыв написан 26 мая, 2016, 21:42"
Таракса,5.0,"Отзыв написан 25 мая, 2016, 23:39"
Шуя,3.0,"Отзыв написан 24 мая, 2016, 17:21"
Юрьев-Польский,4.0,"Отзыв написан 24 мая, 2016, 17:06"
Ярополец,4.0,"Отзыв написан 24 мая, 2016, 16:47"
Устюжна,2.0,"Отзыв написан 24 мая, 2016, 16:01"
Буй,3.0,"Отзыв написан 24 мая, 2016, 14:57"
Весьегонск,4.0,"Отзыв написан 24 мая, 2016, 14:17"
Кимры,3.0,"Отзыв написан 24 мая, 2016, 14:02"
Эльтон,5.0,"Отзыв написан 23 мая, 2016, 23:06"
Санкт-Петербург,5.0,"Отзыв написан 23 мая, 2016, 18:48"
Курск,4.0,"Отзыв написан 22 мая, 2016, 16:42"
Орехово,4.0,"Отзыв написан 22 мая, 2016, 14:45"
Великий Новгород,5.0,"Отзыв написан 21 мая, 2016, 15:14"
Волхов,5.0,"Отзыв написан 21 мая, 2016, 15:10"
Волгоград,3.0,"Отзыв написан 18 мая, 2016, 12:04"
Старый Оскол,4.0,"Отзыв написан 18 мая, 2016, 00:06"
Уфа,4.0,"Отзыв написан 17 мая, 2016, 15:45"
Альметьевск,4.0,"Отзыв написан 17 мая, 2016, 15:39"
Тула,5.0,"Отзыв написан 17 мая, 2016, 13:53"
Волгоград,3.0,"Отзыв написан 16 мая, 2016, 16:07"
Сочи,4.0,"Отзыв написан 15 мая, 2016, 12:24"
Сочи,5.0,"Отзыв написан 14 мая, 2016, 10:40"
Медногорск,1.0,"Отзыв написан 14 мая, 2016, 09:01"
Сыктывкар,1.0,"Отзыв написан 12 мая, 2016, 11:07"
Гусев,5.0,"Отзыв написан 11 мая, 2016, 13:25"
Белгород,1.0,"Отзыв написан 11 мая, 2016, 11:54"
Белгород,1.0,"Отзыв написан 11 мая, 2016, 10:36"
Барнаул,1.0,"Отзыв написан 10 мая, 2016, 17:56"
Омск,3.0,"Отзыв написан 9 мая, 2016, 20:37"
Новосибирск,1.0,"Отзыв написан 6 мая, 2016, 17:11"
Лесозаводск,2.0,"Отзыв написан 5 мая, 2016, 04:46"
Анапа,3.0,"Отзыв написан 4 мая, 2016, 14:45"
Кострома,2.0,"Отзыв написан 2 мая, 2016, 14:22"
Курск,3.0,"Отзыв написан 2 мая, 2016, 04:21"
Тверь,3.0,"Отзыв написан 2 мая, 2016, 03:46"
Ульяновск,4.0,"Отзыв написан 1 мая, 2016, 07:28"
Томск,5.0,"Отзыв написан 1 мая, 2016, 07:11"
Волгоград,4.0,"Отзыв написан 30 апреля, 2016, 18:16"
Волгоград,3.0,"Отзыв написан 28 апреля, 2016, 20:49"
Новороссийск,5.0,"Отзыв написан 28 апреля, 2016, 20:36"
Краснодар,4.0,"Отзыв написан 28 апреля, 2016, 20:18"
Анапа,3.0,"Отзыв написан 28 апреля, 2016, 20:08"
Александров,1.0,"Отзыв написан 27 апреля, 2016, 18:50"
Калуга,1.0,"Отзыв написан 27 апреля, 2016, 17:26"
Экономическое,3.0,"Отзыв написан 27 апреля, 2016, 13:28"
Уфа,1.0,"Отзыв написан 27 апреля, 2016, 00:33"
Воронеж,3.0,"Отзыв написан 26 апреля, 2016, 17:54"
Кызыл,1.0,"Отзыв написан 26 апреля, 2016, 17:32"
Людиново,1.0,"Отзыв написан 26 апреля, 2016, 12:05"
Брянск,1.0,"Отзыв написан 25 апреля, 2016, 18:02"
Артёмовск,1.0,"Отзыв написан 23 апреля, 2016, 07:19"
Новокиевский Увал,4.0,"Отзыв написан 22 апреля, 2016, 09:51"
Благовещенск,5.0,"Отзыв написан 20 апреля, 2016, 14:55"
Воронеж,5.0,"Отзыв написан 20 апреля, 2016, 13:13"
Любовь,5.0,"Отзыв написан 20 апреля, 2016, 08:51"
Городня,3.0,"Отзыв написан 19 апреля, 2016, 19:27"
Иркутск,4.0,"Отзыв написан 19 апреля, 2016, 04:52"
Шапошниковка,5.0,"Отзыв написан 18 апреля, 2016, 10:14"
Магнитогорск,1.0,"Отзыв написан 17 апреля, 2016, 12:01"
Уфа,5.0,"Отзыв написан 15 апреля, 2016, 13:17"
Сочи,5.0,"Отзыв написан 13 апреля, 2016, 11:01"
Сочи,1.0,"Отзыв написан 13 апреля, 2016, 10:18"
Геленджик,2.0,"Отзыв написан 13 апреля, 2016, 07:42"
Балаково,1.0,"Отзыв написан 11 апреля, 2016, 22:20"
Зарайск,5.0,"Отзыв написан 11 апреля, 2016, 21:07"
Кашира,5.0,"Отзыв написан 11 апреля, 2016, 21:06"
Клин,5.0,"Отзыв написан 11 апреля, 2016, 21:06"
Коломна,5.0,"Отзыв написан 11 апреля, 2016, 21:05"
Можайск,5.0,"Отзыв написан 11 апреля, 2016, 21:04"
Верея,5.0,"Отзыв написан 11 апреля, 2016, 21:04"
Бронницы,5.0,"Отзыв написан 11 апреля, 2016, 21:01"
Серпухов,5.0,"Отзыв написан 11 апреля, 2016, 20:59"
Руза,5.0,"Отзыв написан 11 апреля, 2016, 20:57"
Таганрог,4.0,"Отзыв написан 11 апреля, 2016, 06:12"
Ессентуки,2.0,"Отзыв написан 10 апреля, 2016, 10:15"
Платнировская,2.0,"Отзыв написан 10 апреля, 2016, 00:50"
Журавкино,5.0,"Отзыв написан 9 апреля, 2016, 02:00"
Воронеж,4.0,"Отзыв написан 8 апреля, 2016, 23:21"
Волгоград,1.0,"Отзыв написан 8 апреля, 2016, 17:21"
Каменск-Уральский,1.0,"Отзыв написан 8 апреля, 2016, 12:30"
Вагай,5.0,"Отзыв написан 7 апреля, 2016, 13:55"
Екатеринбург,4.0,"Отзыв написан 6 апреля, 2016, 22:29"
Ростов-на-Дону,4.0,"Отзыв написан 6 апреля, 2016, 22:26"
Казань,5.0,"Отзыв написан 6 апреля, 2016, 22:17"
Сочи,5.0,"Отзыв написан 6 апреля, 2016, 11:42"
Сочи,5.0,"Отзыв написан 5 апреля, 2016, 18:23"
Новый Уренгой,5.0,"Отзыв написан 4 апреля, 2016, 13:38"
Сочи,5.0,"Отзыв написан 3 апреля, 2016, 23:32"
Казань,2.0,"Отзыв написан 3 апреля, 2016, 18:49"
Белгород,5.0,"Отзыв написан 3 апреля, 2016, 16:42"
Краснодар,5.0,"Отзыв написан 2 апреля, 2016, 14:52"
Рязань,3.0,"Отзыв написан 2 апреля, 2016, 13:36"
Домодедово,1.0,"Отзыв написан 1 апреля, 2016, 18:02"
Домодедово,1.0,"Отзыв написан 1 апреля, 2016, 17:47"
Калининград,4.0,"Отзыв написан 1 апреля, 2016, 17:15"
Сочи,5.0,"Отзыв написан 1 апреля, 2016, 12:14"
Великие Луки,3.0,"Отзыв написан 31 марта, 2016, 11:32"
Ульяновск,4.0,"Отзыв написан 31 марта, 2016, 11:14"
Ульяновск,3.0,"Отзыв написан 30 марта, 2016, 20:36"
Норильск,4.0,"Отзыв написан 30 марта, 2016, 12:14"
Сочи,5.0,"Отзыв написан 30 марта, 2016, 11:15"
Сочи,5.0,"Отзыв написан 30 марта, 2016, 09:25"
Санкт-Петербург,4.0,"Отзыв написан 29 марта, 2016, 14:46"
Хуррият,5.0,"Отзыв написан 29 марта, 2016, 13:09"
Нижний Новгород,4.0,"Отзыв написан 29 марта, 2016, 09:48"
Саратов,1.0,"Отзыв написан 29 марта, 2016, 01:07"
Ростов-на-Дону,5.0,"Отзыв написан 28 марта, 2016, 15:22"
Белгород,5.0,"Отзыв написан 28 марта, 2016, 14:52"
Ярославль,5.0,"Отзыв написан 28 марта, 2016, 12:46"
Богучаны,4.0,"Отзыв написан 28 марта, 2016, 12:09"
Северо-Задонск,1.0,"Отзыв написан 28 марта, 2016, 08:37"
Выборг,1.0,"Отзыв написан 27 марта, 2016, 20:48"
Казак-Кочердык,5.0,"Отзыв написан 26 марта, 2016, 09:59"
Белгород,1.0,"Отзыв написан 24 марта, 2016, 11:03"
Осиновое Плесо,5.0,"Отзыв написан 24 марта, 2016, 05:59"
Иваново,1.0,"Отзыв написан 23 марта, 2016, 15:37"
Воронеж,3.0,"Отзыв написан 22 марта, 2016, 18:20"
Санкт-Петербург,5.0,"Отзыв написан 21 марта, 2016, 22:23"
Воронеж,5.0,"Отзыв написан 21 марта, 2016, 16:11"
Ухта,1.0,"Отзыв написан 20 марта, 2016, 22:57"
Кострома,1.0,"Отзыв написан 20 марта, 2016, 19:02"
Омск,3.0,"Отзыв написан 20 марта, 2016, 11:32"
Архангельск,5.0,"Отзыв написан 19 марта, 2016, 00:07"
Оренбург,5.0,"Отзыв написан 18 марта, 2016, 23:55"
Казань,5.0,"Отзыв написан 18 марта, 2016, 23:32"
Боковская,4.0,"Отзыв написан 18 марта, 2016, 14:07"
Белоярский,4.0,"Отзыв написан 16 марта, 2016, 13:24"
Екатерининка,4.0,"Отзыв написан 15 марта, 2016, 20:10"
Краснодар,5.0,"Отзыв написан 15 марта, 2016, 10:26"
Курск,1.0,"Отзыв написан 15 марта, 2016, 09:32"
Рудногорск,4.0,"Отзыв написан 14 марта, 2016, 14:16"
Ивантеевка,4.0,"Отзыв написан 14 марта, 2016, 08:30"
Беллык,4.0,"Отзыв написан 12 марта, 2016, 11:27"
Осиновая Гряда,2.0,"Отзыв написан 11 марта, 2016, 09:37"
Краснодар,5.0,"Отзыв написан 10 марта, 2016, 14:25"
Тельма,4.0,"Отзыв написан 10 марта, 2016, 08:40"
Балаклава,5.0,"Отзыв написан 9 марта, 2016, 16:55"
Уфа,5.0,"Отзыв написан 9 марта, 2016, 08:44"
Иваново,1.0,"Отзыв написан 8 марта, 2016, 14:38"
Железногорск,2.0,"Отзыв написан 8 марта, 2016, 12:45"
Переславль-Залесский,5.0,"Отзыв написан 8 марта, 2016, 12:18"
Тобольск,3.0,"Отзыв написан 8 марта, 2016, 02:30"
Москва,5.0,"Отзыв написан 8 марта, 2016, 01:09"
Волгоград,1.0,"Отзыв написан 5 марта, 2016, 22:07"
Краснодар,4.0,"Отзыв написан 5 марта, 2016, 21:35"
Орел,5.0,"Отзыв написан 5 марта, 2016, 14:04"
Гаджиево,4.0,"Отзыв написан 4 марта, 2016, 00:07"
Абакан,5.0,"Отзыв написан 3 марта, 2016, 23:35"
Барнаул,3.0,"Отзыв написан 3 марта, 2016, 17:24"
Краснодар,5.0,"Отзыв написан 3 марта, 2016, 13:35"
Мысовое,5.0,"Отзыв написан 2 марта, 2016, 22:07"
Мысовое,5.0,"Отзыв написан 2 марта, 2016, 21:55"
Чита,3.0,"Отзыв написан 1 марта, 2016, 19:03"
